age,Systolic blood pressure,Diastolic blood pressure,Fasting Glucose,Glycohemoglobin,Low-density lipoprotein,High-density lipoprotein,Triglyceride,hypertension,diabetes,Coronary Heart Disease,smoke,sleep time,stroke_pred_proba_percent
40,160,100,8.0,6.5,2.0,1.0,3.0,0,1,0,1,6,37.71
60,120,60,10.0,4.5,2.0,1.0,1.0,1,0,0,1,10,60.03
50,140,100,8.0,6.5,5.0,1.3,1.0,0,1,1,0,4,59.01
30,160,80,4.5,5.5,4.0,1.0,2.0,0,1,1,0,4,54.8
70,180,90,4.5,9.0,2.0,1.3,1.5,0,1,0,1,10,24.81
80,100,70,10.0,5.5,5.0,1.0,2.0,1,0,1,0,10,53.17
70,100,60,8.0,4.5,2.0,1.6,1.5,1,0,1,1,10,46.31
30,120,70,5.5,9.0,4.0,1.0,2.0,1,0,0,1,4,50.41
20,160,100,5.5,5.5,2.0,1.3,2.0,0,0,1,1,10,30.99
50,100,100,6.5,9.0,2.0,1.3,2.0,0,0,0,1,4,29.3
30,160,70,4.5,9.0,3.0,0.8,3.0,1,0,1,0,6,49.51
40,180,70,8.0,5.5,4.0,1.6,1.0,0,0,0,1,6,46.82
60,180,70,8.0,5.5,3.0,1.3,3.0,0,0,1,0,4,46.49
40,180,80,5.5,7.5,4.0,1.6,1.0,1,0,1,0,4,64.66
40,160,60,6.5,4.5,5.0,1.0,2.0,0,0,1,1,6,55.6
40,140,70,5.5,6.5,4.0,0.8,2.0,1,1,1,0,6,58.08
60,180,100,6.5,9.0,5.0,1.0,1.5,0,0,1,0,10,56.32
30,140,70,6.5,6.5,4.0,1.0,1.0,1,0,1,1,10,74.51
70,120,80,5.5,5.5,3.0,1.0,3.0,1,0,0,0,6,46.55
50,100,80,4.5,7.5,3.0,0.8,2.0,0,0,0,0,4,35.79
20,100,70,6.5,6.5,4.0,1.6,2.0,1,0,1,0,4,46.31
50,100,70,10.0,9.0,3.0,1.6,3.0,0,1,1,1,6,34.84
30,160,100,5.5,6.5,4.0,1.6,2.0,0,0,0,0,6,30.34
80,140,70,10.0,6.5,5.0,1.6,3.0,0,0,1,0,8,42.11
40,140,100,4.5,4.5,4.0,0.8,1.0,1,0,1,1,10,56.46
70,160,100,4.5,7.5,3.0,1.6,1.0,0,1,0,1,6,27.61
30,140,80,5.5,6.5,2.0,1.3,3.0,1,0,0,0,8,49.46
50,100,90,10.0,4.5,4.0,1.6,2.0,0,0,1,1,8,43.54
40,140,70,8.0,7.5,2.0,0.8,2.0,0,1,0,0,8,60.56
60,100,80,8.0,9.0,3.0,1.6,3.0,0,1,1,1,10,42.27
20,100,60,8.0,9.0,2.0,1.0,1.0,0,0,1,0,4,40.81
80,180,90,8.0,7.5,3.0,1.6,1.0,0,0,0,1,10,26.78
70,160,100,6.5,6.5,5.0,0.8,3.0,0,0,0,0,4,31.58
60,160,90,4.5,7.5,4.0,1.0,1.5,0,1,0,0,8,26.61
60,160,80,8.0,5.5,3.0,0.8,3.0,0,0,0,1,4,54.36
70,140,70,6.5,7.5,4.0,0.8,3.0,1,0,1,1,8,43.4
80,180,90,4.5,6.5,3.0,0.8,1.0,0,1,0,0,4,27.31
80,120,100,6.5,9.0,2.0,1.6,1.0,0,0,0,1,4,28.21
70,180,60,8.0,9.0,2.0,1.6,3.0,1,0,1,0,10,46.75
70,100,80,6.5,9.0,4.0,1.0,1.0,1,1,1,0,4,64.53
60,120,60,6.5,7.5,2.0,0.8,2.0,1,1,0,0,4,57.29
50,100,70,4.5,4.5,2.0,1.6,2.0,1,0,1,1,4,38.58
80,120,70,4.5,5.5,4.0,1.6,2.0,0,0,1,1,4,58.07
50,180,80,8.0,9.0,3.0,0.8,2.0,0,0,1,1,8,55.09
70,120,70,6.5,6.5,5.0,1.6,1.0,0,1,1,1,6,67.95
30,140,70,10.0,7.5,4.0,1.6,1.5,0,0,0,0,6,34.75
20,160,60,4.5,4.5,2.0,1.6,1.5,0,1,0,1,8,42.87
30,100,90,6.5,4.5,4.0,1.6,3.0,0,1,0,1,6,24.5
70,180,90,10.0,9.0,4.0,1.0,3.0,0,0,0,1,4,32.96
70,160,80,8.0,6.5,4.0,1.3,1.0,1,0,0,1,6,53.1
80,100,90,6.5,7.5,5.0,1.6,2.0,0,1,1,0,10,48.94
20,140,90,4.5,6.5,4.0,0.8,1.0,0,0,0,1,6,36.54
60,160,90,6.5,4.5,2.0,1.3,1.0,0,1,1,1,8,43.16
80,180,90,8.0,4.5,4.0,1.3,3.0,1,1,0,1,6,42.5
20,180,90,5.5,7.5,5.0,1.0,3.0,0,1,1,1,6,40.76
80,180,90,6.5,5.5,5.0,0.8,2.0,1,0,0,1,10,40.5
60,140,60,8.0,4.5,2.0,1.0,3.0,0,1,0,1,4,60.45
40,140,90,5.5,7.5,2.0,1.3,3.0,1,1,0,0,4,36.73
50,100,90,10.0,7.5,2.0,1.3,3.0,0,0,0,0,10,27.88
30,140,90,4.5,5.5,2.0,1.6,1.5,1,0,1,1,6,36.33
30,100,70,8.0,5.5,4.0,1.3,2.0,1,1,1,1,4,50.44
20,100,90,6.5,6.5,3.0,0.8,2.0,0,0,0,1,4,27.07
20,100,100,10.0,9.0,5.0,0.8,1.0,1,1,0,0,8,34.32
20,180,100,10.0,4.5,3.0,1.3,2.0,0,1,1,0,4,43.06
30,140,80,4.5,9.0,5.0,1.0,2.0,1,0,0,0,4,49.22
30,180,80,4.5,6.5,4.0,1.0,3.0,1,0,1,0,4,47.63
70,100,90,10.0,7.5,4.0,1.6,3.0,0,1,1,1,10,34.12
70,180,60,4.5,4.5,5.0,1.6,2.0,1,1,0,0,6,55.94
60,140,60,5.5,4.5,2.0,1.0,2.0,0,0,0,0,8,43.58
60,120,60,6.5,4.5,2.0,1.3,1.5,0,1,0,1,4,52.87
30,100,80,10.0,6.5,5.0,1.0,2.0,1,0,1,0,6,56.73
30,120,90,4.5,7.5,4.0,1.0,3.0,1,0,1,1,6,37.54
50,120,70,6.5,5.5,5.0,1.0,2.0,1,1,1,0,10,63.9
50,160,60,6.5,6.5,5.0,1.0,1.0,0,1,1,0,8,73.7
70,160,80,8.0,4.5,4.0,0.8,2.0,0,0,1,0,6,54.14
30,120,90,6.5,5.5,3.0,1.6,2.0,1,0,0,1,4,31.96
60,100,70,8.0,6.5,2.0,1.0,2.0,1,1,1,0,8,34.7
20,160,70,5.5,4.5,2.0,1.3,3.0,1,0,0,1,6,56.24
40,140,90,6.5,6.5,4.0,0.8,1.0,1,1,0,1,4,38.41
40,140,80,8.0,6.5,4.0,1.0,1.0,0,0,0,1,10,50.59
80,120,90,5.5,4.5,5.0,0.8,2.0,1,0,0,0,10,39.97
70,100,70,5.5,5.5,5.0,0.8,1.0,1,0,0,0,4,43.87
70,140,70,8.0,6.5,5.0,1.6,1.5,1,0,1,1,4,67.33
80,160,90,8.0,6.5,2.0,1.0,2.0,0,1,1,0,8,31.61
50,120,80,10.0,4.5,2.0,1.0,1.5,1,0,0,1,6,58.54
30,140,60,5.5,9.0,4.0,0.8,2.0,0,0,1,1,8,62.59
30,180,80,10.0,7.5,5.0,1.0,3.0,0,1,1,1,6,37.44
20,100,70,4.5,4.5,5.0,1.0,2.0,1,0,1,1,10,49.01
60,180,80,10.0,9.0,5.0,0.8,3.0,0,1,1,1,4,39.02
30,120,70,10.0,9.0,4.0,0.8,1.5,0,1,0,1,4,37.21
20,140,100,10.0,9.0,4.0,0.8,1.5,0,0,0,0,10,22.2
40,120,70,5.5,6.5,2.0,1.3,1.0,0,1,1,0,4,43.16
70,140,70,8.0,9.0,5.0,1.6,3.0,0,0,0,0,4,51.15
60,160,80,6.5,5.5,5.0,1.6,1.0,1,1,1,1,6,71.01
70,100,100,5.5,9.0,2.0,0.8,2.0,0,0,1,1,8,28.3
20,120,90,5.5,5.5,4.0,0.8,3.0,0,0,1,0,8,41.09
30,160,90,10.0,5.5,3.0,1.3,2.0,1,1,0,0,10,35.4
30,140,60,10.0,5.5,2.0,0.8,1.0,1,0,0,1,10,59.33
50,140,70,6.5,4.5,2.0,1.0,1.5,1,0,0,0,10,64.32
40,100,80,4.5,6.5,5.0,1.0,1.5,1,0,0,1,8,43.8
60,140,80,8.0,6.5,3.0,0.8,2.0,0,0,1,0,6,53.72
40,160,70,5.5,9.0,3.0,1.3,2.0,1,1,1,1,6,52.15
70,160,70,10.0,5.5,3.0,0.8,1.0,1,1,0,0,6,55.73
80,100,100,10.0,7.5,5.0,0.8,3.0,0,1,0,1,6,23.02
30,140,70,5.5,5.5,4.0,1.6,2.0,1,0,0,1,10,64.13
80,180,90,4.5,9.0,2.0,0.8,1.5,0,1,0,1,6,22.08
30,140,70,5.5,9.0,2.0,1.6,3.0,1,0,0,1,6,54.9
20,140,80,6.5,6.5,4.0,0.8,1.0,0,0,1,0,8,68.71
30,140,60,4.5,7.5,3.0,1.6,2.0,1,1,0,0,10,56.9
70,120,100,4.5,9.0,3.0,1.6,2.0,0,1,1,0,6,41.4
30,100,90,10.0,9.0,3.0,1.0,2.0,1,1,1,0,6,47.38
30,120,60,6.5,5.5,4.0,1.3,1.0,1,1,0,1,10,63.09
40,100,100,6.5,5.5,5.0,1.6,2.0,1,1,1,1,10,43.71
60,160,70,6.5,7.5,5.0,0.8,1.0,1,1,1,0,6,68.63
40,180,70,4.5,5.5,2.0,1.6,1.0,1,0,1,0,10,60.3
60,180,100,6.5,4.5,4.0,1.3,2.0,1,1,0,0,10,35.32
50,120,80,5.5,6.5,2.0,1.3,3.0,1,0,1,0,10,28.05
20,180,100,10.0,4.5,2.0,1.3,2.0,1,0,0,0,8,41.31
70,140,80,5.5,5.5,4.0,0.8,1.0,0,0,1,0,4,61.32
70,140,100,5.5,6.5,2.0,1.0,3.0,1,1,0,1,10,30.49
80,100,90,10.0,9.0,3.0,1.3,1.5,1,0,0,0,8,29.17
70,160,70,4.5,4.5,5.0,1.0,1.0,1,0,0,0,8,55.99
40,180,100,5.5,9.0,2.0,1.3,1.5,0,1,1,0,6,42.96
40,160,80,10.0,5.5,2.0,0.8,2.0,1,0,0,0,10,62.78
70,100,70,6.5,5.5,5.0,1.6,1.5,0,1,1,1,6,63.26
60,120,60,4.5,4.5,2.0,0.8,3.0,1,1,0,0,8,43.59
40,100,80,6.5,6.5,4.0,0.8,1.0,1,0,0,0,4,49.76
80,100,80,4.5,9.0,5.0,0.8,1.0,1,0,0,0,6,42.46
30,120,70,10.0,9.0,4.0,1.0,3.0,1,1,1,0,6,45.68
80,140,60,4.5,7.5,3.0,1.0,2.0,1,1,0,0,10,56.9
50,160,60,4.5,9.0,2.0,1.6,1.0,0,1,0,1,8,40.77
60,180,70,4.5,5.5,3.0,1.3,3.0,0,0,1,1,4,51.1
40,140,80,10.0,4.5,2.0,0.8,1.5,0,0,1,0,8,32.44
20,120,60,8.0,9.0,3.0,1.3,2.0,0,0,0,1,6,47.96
70,180,70,10.0,5.5,3.0,1.3,3.0,0,0,0,0,4,44.32
20,180,90,6.5,4.5,2.0,1.3,1.0,0,1,1,0,8,48.09
70,160,70,4.5,9.0,2.0,0.8,1.5,1,0,1,0,8,36.1
40,180,90,4.5,7.5,3.0,0.8,2.0,1,1,1,0,10,50.09
20,160,90,5.5,7.5,5.0,0.8,1.5,1,0,1,1,8,56.47
70,100,70,6.5,7.5,5.0,1.3,1.0,1,0,0,1,8,41.21
40,120,80,10.0,6.5,4.0,1.3,1.5,0,1,0,0,6,40.0
20,180,90,10.0,6.5,5.0,0.8,2.0,1,1,1,1,4,51.68
40,180,60,10.0,9.0,2.0,1.0,3.0,0,0,0,0,6,51.21
70,120,80,5.5,7.5,4.0,1.0,1.0,0,1,1,0,6,61.57
80,140,100,5.5,7.5,5.0,0.8,3.0,0,0,0,0,10,30.06
50,180,90,5.5,5.5,5.0,1.0,1.5,1,0,1,1,4,56.3
30,100,60,4.5,9.0,3.0,1.6,1.0,1,0,1,1,4,57.45
20,140,100,8.0,6.5,2.0,1.6,1.0,0,0,1,0,4,32.69
70,140,100,4.5,5.5,3.0,1.0,3.0,1,0,1,1,8,41.39
70,120,90,6.5,9.0,4.0,1.0,1.0,1,0,0,1,6,33.57
60,140,100,10.0,7.5,3.0,1.3,1.5,0,0,0,0,4,23.72
20,180,90,10.0,4.5,5.0,1.0,1.0,0,0,0,0,10,29.86
20,120,60,5.5,7.5,3.0,1.0,3.0,1,0,0,0,6,46.74
70,160,90,10.0,9.0,5.0,1.0,2.0,1,0,1,0,8,54.8
40,160,90,5.5,6.5,4.0,1.3,1.0,0,1,0,1,4,32.48
40,140,80,8.0,5.5,3.0,1.0,3.0,0,1,0,1,10,50.83
70,140,100,6.5,6.5,3.0,1.0,2.0,0,0,1,1,8,41.01
20,120,70,10.0,4.5,2.0,1.3,1.0,1,1,0,0,10,59.12
50,140,70,4.5,7.5,3.0,1.6,2.0,0,1,0,0,6,47.72
80,120,90,5.5,6.5,5.0,1.0,1.5,0,0,0,0,4,27.34
80,140,60,6.5,7.5,5.0,1.0,1.5,0,0,1,0,4,68.64
20,140,60,10.0,9.0,4.0,1.0,1.5,1,0,1,1,4,69.32
40,140,70,4.5,7.5,5.0,1.3,1.0,0,1,0,1,10,50.83
60,180,90,5.5,9.0,2.0,0.8,1.5,1,1,0,0,10,35.06
40,120,80,10.0,9.0,3.0,0.8,1.5,0,0,1,1,8,51.6
70,100,60,5.5,9.0,5.0,1.0,1.5,0,1,0,0,6,32.33
30,140,100,10.0,4.5,2.0,0.8,1.0,1,0,0,1,6,42.25
80,100,70,8.0,4.5,4.0,0.8,1.0,0,0,1,0,10,63.41
60,160,70,5.5,6.5,3.0,1.6,1.0,1,0,0,1,8,50.75
70,120,90,4.5,6.5,2.0,1.0,1.0,1,1,0,1,4,34.79
30,180,90,6.5,5.5,3.0,1.0,2.0,1,1,0,1,4,41.39
40,100,60,8.0,6.5,3.0,0.8,3.0,1,1,1,1,8,42.19
70,120,100,4.5,6.5,5.0,1.6,3.0,1,1,1,1,6,35.11
70,160,70,4.5,6.5,4.0,1.6,3.0,0,1,1,1,8,49.13
50,180,80,8.0,4.5,4.0,1.3,2.0,1,0,1,0,8,55.28
80,100,80,5.5,9.0,2.0,0.8,3.0,1,0,1,0,10,28.98
30,100,70,10.0,4.5,4.0,1.0,3.0,1,1,0,0,4,45.69
80,100,90,5.5,9.0,4.0,0.8,1.0,0,0,1,1,6,59.45
70,140,90,4.5,7.5,4.0,1.6,2.0,1,1,0,0,4,35.17
80,160,70,5.5,5.5,5.0,1.3,2.0,1,0,1,1,4,55.56
50,160,70,4.5,6.5,2.0,1.0,1.0,1,1,0,1,6,51.2
60,140,60,6.5,4.5,3.0,1.6,2.0,0,1,0,1,4,48.83
80,100,60,6.5,9.0,2.0,1.6,2.0,0,1,0,1,4,45.67
60,140,70,10.0,7.5,2.0,1.3,1.5,1,0,0,1,6,56.45
70,180,60,10.0,9.0,3.0,1.6,2.0,1,0,0,1,6,52.51
80,180,60,8.0,9.0,5.0,1.0,1.0,0,0,1,1,10,74.42
20,180,100,4.5,7.5,2.0,1.0,1.5,1,0,0,0,6,26.08
60,160,80,4.5,4.5,3.0,1.0,1.5,0,1,0,1,8,41.36
80,120,80,10.0,6.5,2.0,1.0,1.5,1,0,1,1,10,42.75
20,160,70,8.0,5.5,2.0,1.0,3.0,0,0,1,0,4,39.96
80,140,70,5.5,7.5,5.0,0.8,1.5,1,0,1,1,6,61.28
60,100,70,8.0,7.5,4.0,0.8,1.5,0,1,0,0,8,33.59
50,140,90,6.5,4.5,3.0,1.0,1.5,1,0,0,0,8,35.19
70,160,70,10.0,5.5,5.0,1.6,1.0,0,0,1,1,8,66.15
80,120,70,10.0,9.0,4.0,1.6,2.0,0,1,0,1,10,56.06
80,140,90,10.0,9.0,3.0,0.8,1.0,0,0,1,1,10,46.86
40,100,70,8.0,6.5,2.0,0.8,1.0,0,0,1,0,4,39.68
50,120,90,10.0,9.0,3.0,1.0,1.0,0,0,1,0,8,51.07
50,100,60,8.0,9.0,2.0,1.0,1.0,1,0,0,1,10,51.93
20,120,100,10.0,5.5,3.0,1.3,2.0,1,1,0,1,8,31.89
70,140,70,6.5,4.5,4.0,0.8,3.0,1,1,0,1,8,51.28
20,100,70,10.0,6.5,3.0,1.0,1.0,1,0,0,0,8,47.94
40,120,100,10.0,6.5,5.0,0.8,1.0,1,1,0,0,4,41.76
80,120,80,10.0,6.5,5.0,1.0,3.0,1,0,1,0,8,46.01
70,100,90,6.5,9.0,4.0,1.3,1.5,1,0,0,0,4,26.72
80,180,90,5.5,9.0,4.0,1.3,1.5,0,0,0,1,6,26.54
50,180,100,5.5,5.5,2.0,1.3,3.0,0,0,1,0,4,44.53
40,120,90,5.5,5.5,5.0,1.0,1.5,1,0,1,1,6,58.01
40,100,60,5.5,5.5,3.0,1.6,1.5,0,1,0,0,6,37.78
20,100,90,6.5,6.5,5.0,1.0,1.0,1,0,1,1,6,67.69
40,160,60,6.5,6.5,2.0,0.8,1.0,1,1,0,1,8,62.48
60,160,80,10.0,6.5,3.0,1.0,3.0,0,1,0,1,4,50.68
40,120,60,8.0,9.0,5.0,1.0,2.0,0,1,1,1,6,62.54
20,180,70,5.5,7.5,4.0,1.0,1.5,1,0,0,1,6,42.76
20,160,60,6.5,6.5,4.0,1.0,2.0,0,1,1,0,8,62.16
40,100,90,8.0,5.5,3.0,1.6,2.0,0,1,1,1,8,48.32
50,160,70,5.5,9.0,4.0,1.6,1.5,1,1,0,1,8,41.11
80,160,90,8.0,5.5,4.0,1.3,1.5,1,0,1,1,10,66.77
40,120,70,10.0,6.5,3.0,1.3,1.5,1,0,1,1,8,64.87
50,100,80,10.0,4.5,5.0,1.0,1.5,0,1,0,0,10,33.45
50,160,80,5.5,7.5,5.0,0.8,1.5,0,1,1,1,6,54.83
50,120,80,10.0,4.5,4.0,1.0,3.0,1,0,1,0,4,50.08
40,180,70,10.0,6.5,5.0,1.6,2.0,1,0,0,0,8,55.66
40,160,100,8.0,6.5,2.0,1.0,1.5,1,1,0,0,10,38.95
70,120,60,5.5,6.5,5.0,1.3,1.0,1,0,1,0,8,67.64
60,120,90,5.5,5.5,4.0,1.6,1.0,1,0,0,1,6,39.48
70,140,80,10.0,9.0,3.0,1.6,2.0,1,0,0,1,4,54.08
80,180,60,4.5,7.5,4.0,1.6,1.0,1,0,1,1,10,70.46
20,180,80,4.5,9.0,3.0,0.8,2.0,1,0,0,0,4,53.03
80,140,90,6.5,5.5,3.0,1.3,2.0,0,0,0,0,4,30.85
50,160,80,6.5,4.5,3.0,1.3,1.5,1,0,0,1,6,52.23
20,120,90,6.5,5.5,2.0,1.0,2.0,1,0,0,0,10,37.83
50,120,90,8.0,6.5,4.0,1.6,2.0,1,0,1,1,4,51.37
60,160,90,10.0,7.5,5.0,0.8,1.0,1,0,1,0,6,64.83
80,140,100,8.0,9.0,5.0,1.0,1.0,1,0,0,1,10,30.63
40,100,60,6.5,6.5,5.0,0.8,2.0,1,1,0,1,6,42.75
70,120,80,6.5,4.5,5.0,1.6,2.0,1,1,1,0,8,50.9
50,140,70,6.5,9.0,3.0,1.0,1.5,1,0,1,1,10,69.06
70,100,90,6.5,9.0,2.0,1.0,3.0,1,0,1,1,10,29.01
60,120,90,6.5,7.5,3.0,1.3,1.0,1,1,1,1,6,52.53
60,140,100,8.0,5.5,3.0,1.6,3.0,0,1,0,1,6,29.67
40,100,70,5.5,4.5,2.0,0.8,1.0,0,1,0,0,6,47.14
50,160,100,4.5,9.0,4.0,1.0,1.5,1,1,1,1,10,48.7
30,100,80,10.0,6.5,3.0,1.0,2.0,1,1,0,1,6,45.99
20,100,70,10.0,7.5,4.0,1.3,2.0,1,0,1,1,8,50.43
40,100,60,10.0,9.0,5.0,0.8,3.0,1,1,1,1,6,44.52
30,160,60,6.5,9.0,5.0,1.6,3.0,0,0,0,1,8,47.5
20,100,100,6.5,9.0,3.0,0.8,3.0,1,0,0,1,8,24.92
50,140,60,5.5,4.5,4.0,0.8,1.0,0,1,0,0,10,54.97
40,120,80,6.5,4.5,3.0,1.6,2.0,0,0,1,1,4,49.29
20,120,100,8.0,4.5,4.0,0.8,3.0,0,0,1,0,8,38.92
70,120,90,4.5,4.5,3.0,1.0,1.5,0,0,1,0,4,46.85
40,180,100,5.5,6.5,3.0,1.0,3.0,1,1,1,1,8,40.01
60,140,70,5.5,9.0,2.0,1.3,2.0,1,0,1,0,6,38.4
70,160,100,8.0,9.0,2.0,1.6,1.5,0,0,1,0,8,33.25
20,180,100,10.0,6.5,4.0,1.6,1.0,0,0,1,0,10,61.23
80,120,90,8.0,4.5,4.0,1.6,2.0,0,1,0,0,8,33.06
80,160,80,10.0,6.5,2.0,1.3,2.0,0,1,0,0,6,60.81
30,180,90,10.0,6.5,4.0,1.3,2.0,0,0,1,1,8,47.31
20,180,60,4.5,4.5,4.0,0.8,1.0,1,0,0,1,10,53.98
30,180,60,5.5,7.5,5.0,1.0,1.5,0,0,0,1,8,37.98
80,120,80,8.0,7.5,5.0,0.8,2.0,0,0,0,1,10,48.18
30,100,100,8.0,9.0,4.0,1.3,1.5,1,0,0,0,8,25.48
60,180,60,8.0,4.5,2.0,1.0,2.0,0,1,1,1,10,50.87
80,140,100,8.0,5.5,4.0,0.8,2.0,1,0,1,1,10,49.39
20,160,70,5.5,5.5,3.0,1.0,3.0,1,1,0,0,10,65.29
20,140,60,6.5,7.5,2.0,0.8,2.0,1,1,1,0,10,47.49
50,180,80,4.5,7.5,3.0,0.8,3.0,0,1,0,0,10,50.66
40,140,80,8.0,7.5,3.0,1.0,2.0,0,0,0,1,10,47.51
40,180,60,4.5,5.5,3.0,0.8,1.5,0,1,0,1,10,45.88
70,160,90,8.0,6.5,3.0,1.0,3.0,1,1,0,0,6,37.98
40,180,100,6.5,6.5,2.0,1.6,2.0,1,1,0,0,4,37.61
70,140,70,8.0,4.5,3.0,1.3,2.0,1,0,0,1,8,53.4
80,180,70,8.0,6.5,3.0,0.8,1.0,1,1,1,1,10,67.56
30,160,90,10.0,5.5,2.0,0.8,1.0,1,0,1,1,6,48.66
50,180,80,6.5,9.0,5.0,0.8,1.5,0,1,1,0,10,65.56
50,160,70,10.0,7.5,4.0,1.6,3.0,0,0,0,1,6,48.86
70,180,70,4.5,9.0,4.0,0.8,3.0,1,0,1,0,8,50.14
30,120,100,10.0,9.0,5.0,1.3,3.0,0,0,1,1,4,32.63
80,100,70,5.5,9.0,5.0,1.3,1.5,0,1,1,1,6,59.54
60,120,90,8.0,6.5,4.0,0.8,1.5,0,1,1,1,8,63.23
80,120,70,5.5,6.5,2.0,1.3,1.0,1,0,1,1,6,47.39
80,160,90,8.0,7.5,5.0,0.8,1.0,0,0,1,1,6,62.28
40,100,80,6.5,9.0,2.0,1.0,1.5,0,1,1,0,4,39.24
40,160,80,8.0,4.5,3.0,1.0,1.0,1,0,1,0,8,63.29
70,180,100,8.0,5.5,2.0,0.8,3.0,1,1,1,1,6,42.74
20,140,70,5.5,4.5,5.0,1.3,2.0,1,0,0,1,8,50.99
20,140,90,8.0,9.0,5.0,1.3,3.0,1,0,1,0,8,38.99
40,180,90,5.5,6.5,2.0,0.8,2.0,0,1,1,1,4,43.16
80,120,70,6.5,4.5,4.0,1.3,2.0,0,0,1,0,6,48.71
70,180,70,8.0,5.5,4.0,1.0,3.0,0,1,0,0,4,51.43
20,120,70,10.0,6.5,3.0,1.3,2.0,1,1,1,0,8,59.1
40,180,100,4.5,5.5,2.0,1.0,3.0,0,1,1,1,6,40.29
20,100,100,4.5,5.5,4.0,1.0,1.5,1,1,1,0,6,56.11
60,160,90,10.0,4.5,4.0,1.0,1.5,1,1,0,0,8,40.85
20,100,100,5.5,7.5,4.0,1.3,3.0,0,0,1,1,6,33.23
20,120,100,10.0,5.5,2.0,1.0,2.0,0,0,0,1,8,35.54
50,140,90,6.5,9.0,4.0,1.3,1.5,1,1,0,0,8,29.56
80,180,80,6.5,4.5,3.0,1.0,3.0,0,0,1,0,8,45.9
80,160,60,6.5,9.0,3.0,0.8,1.0,0,1,1,1,6,59.91
70,160,70,10.0,6.5,3.0,0.8,2.0,0,1,0,1,4,55.52
30,140,80,5.5,9.0,2.0,1.0,1.0,0,0,1,0,8,37.84
